Message,Date
FED TO CALL EMERGENCY MEETING TODAY REGARDING INTERST RATES AFTER JAPAN STOCK MARKET COLLAPSES,2024-08-05 06:31:07+00:00
TATAPOWER Above 467 SL 460 TGTS 473478483489 Hold Few Days STOCK getting ready for fresh breakout Upmove likely to continue,2024-08-02 04:06:52+00:00
SELLDABUR FUT 658 TO 650 TRG1 656 TRG2 650 HIT TRG 2 658 TO 650 RR 12 DONE 20000 BOOKED IN 02 LOTS,2024-08-01 05:16:50+00:00
Sensex Crosses 82000 For The First Time Ever,2024-08-01 05:12:49+00:00
SELLDABUR FUT NEAR 658659 TARGET 656650 EXPIRY JULY,2024-08-01 04:55:47+00:00
HINDALCO Above 676 SL 669 TGTS 682688695702 Hold Few Days METAL SECTOR positive yesterday Gud buying in stock in last hour yesterday Upmove likely to continue,2024-08-01 04:02:27+00:00
DIXONTECH Above 12040 SL 12000 TGTS 12065120951212012150 Hold Few Days GUD buying in stock from last three days Getting ready to cross 20MA UPMOVE LIKELY to continue,2024-07-31 05:38:16+00:00
GOOD SETUP GOOD STOCK RESISTANCE AT 540,2024-07-31 04:58:54+00:00
BIOCON Above 365 SL 358 TGTS 370375380385 Hold Few Days GUD buying in stock in last three days Pharma sector doing gud upmove likely to continue,2024-07-26 04:35:50+00:00
INDIACEM Above 366 SL 360 TGTS 370375380385 Hold Few Days STOCK gave freshbreakout and made new high yesterday Upmove likely to continue,2024-07-26 04:34:40+00:00
BNIFTY50800PE Above 415 SL 375 TGTS 450500550600,2024-07-26 04:34:02+00:00
SELLMCX FUT NEAR 4245 TARGET 42354200 EXPIRY JUL,2024-07-26 04:32:50+00:00
MankindPharma to buy BharatSerums and Vaccines for Rs 13630 crore,2024-07-25 16:51:20+00:00
NIFTY TO OPEN 182 PTS GAP DOWN,2024-07-25 03:40:32+00:00
BATA Above 1570 SL 1560 TGTS 1578158815981608 Hold Few Days STOCK continously taking support on 200MA consolidation breakout yesterday in stock Weekly RSI above 60 Daily Rsi taking support at 60 level and bouncing Upmove likely to continue in stock,2024-07-24 04:06:30+00:00
SELLING SEEN IN BHEL PFC REC,2024-07-23 06:39:19+00:00
MARKETS ARE CHOPPY SAFE TRADERS STAYN ON SIDELINES,2024-07-23 05:08:18+00:00
RUSHIL DECOR Co expands into the North American Market to Strengthen Global Presence another Milestone to achieve the ambitious Vision of Rs 2500 Crores by FY 2029,2024-07-23 05:08:07+00:00
BNIFTY 52000PE Above 470 SL 415 TGTS 520575635 685,2024-07-23 04:44:09+00:00
BUY BANKNIFTY 52800 CE ABOVE 390395 TARGET 2570100200250 Point EXPIRY 24TH JUL BUY OBEROIRLTY FUT NEAR16701671 TARGET 16751780 EXPIRY JULY BUY OFSS 11200 CE ABOVE 230 TARGET 240280 EXPIRY JULY,2024-07-19 04:28:34+00:00
